,participant.code,participant.time_started,session.code,session.is_demo,session.config.participation_fee,session.config.community_goal_decimal,session.config.endowment,session.config.single_treatment,single_treatment.1.player.correct_answers,single_treatment.1.player.q1,single_treatment.1.player.q2,single_treatment.1.player.q3,single_treatment.1.player.q4,single_treatment.1.player.q5,single_treatment.1.player.q6,public_goods.1.player.savings,public_goods.2.player.savings,public_goods.3.player.savings,public_goods.4.player.savings,public_goods.5.player.savings,public_goods.6.player.savings,public_goods.7.player.savings,public_goods.8.player.savings,post_survey.1.player.bonus,post_survey.1.player.total_payment,post_survey.1.player.q1,post_survey.1.player.q2,post_survey.1.player.q3,post_survey.1.player.q4,post_survey.1.player.q5,post_survey.1.player.q6,post_survey.1.player.q7,post_survey.1.player.q8,post_survey.1.player.q9,post_survey.1.player.q10,post_survey.1.player.q11,post_survey.1.player.q12,post_survey.1.player.q021,post_survey.1.player.q031,post_survey.1.player.q041,post_survey.1.player.q042,post_survey.1.player.q051,post_survey.1.player.q052,post_survey.1.player.q061,post_survey.1.player.q071,post_survey.1.player.q081,post_survey.1.player.q082,post_survey.1.player.q091,post_survey.1.player.q101,post_survey.1.player.q111,post_survey.1.player.q112,post_survey.1.player.q121,post_survey.1.player.q131,post_survey.1.player.q141,post_survey.1.player.q151
10,zcgk494f,2018-03-22 17:33:26.560483+00:00,ft91zys9,0,$0.00,0.2,16,control,5,$0.50,Two times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,12.75,29.25,7.0,7.0,3.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,6.0,4.0,1998.0,F,White,,North America,,More than 5 years,"Small city or town (under 50,000)",Other,Moderate,Yes,First,Liberal Arts,,More than 5 previous,Yes,0.0,Reducing energy consumption reduces pollution and threat of global warming.
11,iy9q3ba0,2018-03-22 17:33:54.252976+00:00,ft91zys9,0,$0.00,0.2,16,control,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,12.75,25.75,4.0,3.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,1997.0,F,White,,North America,,More than 5 years,Suburb near a large city,Republican,,No,Third,Liberal Arts,,3 - 5 previous,No,0.0,Reducing energy consumption reduces our reliance on imported fossil fuels.
12,cw89iw6k,2018-03-22 17:34:12.960474+00:00,ft91zys9,0,$0.00,0.2,16,control,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,12.75,24.75,4.0,5.0,1.0,6.0,4.0,4.0,6.0,6.0,5.0,6.0,5.0,4.0,1999.0,F,White,,North America,,More than 5 years,Suburb near a large city,Republican,,Yes,Second,Science,,More than 5 previous,Yes,0.0,Reducing energy consumption reduces pollution and threat of global warming.
13,zoc8csvq,2018-03-22 17:34:30.522472+00:00,ft91zys9,0,$0.00,0.2,16,control,4,$0.50,Three times the total in the conservation account ,$12.00,$11.00,$5.00,Yes,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,12.75,28.75,2.0,7.0,2.0,7.0,3.0,2.0,5.0,7.0,5.0,5.0,7.0,7.0,1998.0,F,White,,North America,,More than 5 years,"Large city (250,000-3,000,000)",Republican,,No,First,Liberal Arts,,3 - 5 previous,Yes,0.0,Reducing energy consumption reduces our reliance on imported fossil fuels.
14,1gtwmag4,2018-03-22 17:34:45.954029+00:00,ft91zys9,0,$0.00,0.2,16,control,5,$0.50,Three times the total in the conservation account ,$12.00,$15.00,$11.00,Yes,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,12.75,27.25,7.0,4.0,3.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,5.0,1996.0,M,White,,North America,,More than 5 years,"Medium size city (50,000-250,000)",Other,Centrist,Yes,Fourth,Technology,,More than 5 previous,No,12.0,Reducing energy consumption reduces pollution and threat of global warming.
15,27lqrhbj,2018-03-22 17:35:55.438514+00:00,ft91zys9,0,$0.00,0.2,16,control,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.0,12.75,27.25,6.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,6.0,1995.0,F,White,,North America,,More than 5 years,"Small city or town (under 50,000)",Republican,,No,Fourth,Business/Economics,,None,Yes,12.0,Reducing energy consumption reduces pollution and threat of global warming.
16,hp0mz79k,2018-03-22 17:29:29.698469+00:00,k315vkcg,0,$0.00,0.2,16,D,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15.25,30.25,7.0,7.0,7.0,7.0,4.0,7.0,6.0,6.0,6.0,5.0,7.0,3.0,1998.0,M,Other,Asian,Asia,,Less than 1 year,"Very large city (over 3,000,000)",None,,No,First,Liberal Arts,,More than 5 previous,No,10.0,Reducing energy consumption reduces pollution and threat of global warming.
17,h984k2y2,2018-03-22 17:30:54.249722+00:00,k315vkcg,0,$0.00,0.2,16,D,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,15.25,31.25,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,4.0,1996.0,M,Asian-American ,,North America,,More than 5 years,"Small city or town (under 50,000)",Independent,,No,Fourth,Science,,1 - 2 previous,No,0.0,Reducing energy consumption is important to improve the local economy.
18,ejlarn9c,2018-03-22 17:31:30.025019+00:00,k315vkcg,0,$0.00,0.2,16,D,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,15.25,28.25,2.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,7.0,7.0,5.0,6.0,1997.0,F,Other,Multiracial,North America,,More than 5 years,"Small city or town (under 50,000)",None,,No,Second,Technology,,1 - 2 previous,Yes,0.0,Reducing energy consumption is important to improve the local economy.
19,gxelux6r,2018-03-22 17:31:54.964138+00:00,k315vkcg,0,$0.00,0.2,16,D,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,15.25,27.25,2.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,1997.0,M,White,,North America,,More than 5 years,Suburb near a large city,None,,No,Fourth,Business/Economics,,1 - 2 previous,Yes,6.0,Reducing energy consumption is important to improve the local economy.
20,p3b4j6at,2018-03-22 17:32:13.322749+00:00,k315vkcg,0,$0.00,0.2,16,D,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,15.25,28.25,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,1998.0,F,Asian-American ,,Asia,,More than 5 years,Suburb near a large city,None,,No,First,Health Sciences,,3 - 5 previous,Yes,0.0,Reducing energy consumption is important to improve the local economy.
21,fmm8ng8o,2018-03-22 17:32:28.270671+00:00,k315vkcg,0,$0.00,0.2,16,D,4,$0.50,Two times the total in the conservation account ,$12.00,$11.00,$11.00,Yes,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.5,15.25,28.75,6.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,7.0,7.0,7.0,6.0,1995.0,F,White,,North America,,More than 5 years,"Medium size city (50,000-250,000)",Republican,,No,Fourth,Business/Economics,,3 - 5 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
22,tum5mes5,2018-03-23 20:16:47.199005+00:00,6h9k4r19,0,$0.00,0.2,16,control,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,13.5,28.5,5.0,5.0,1.0,5.0,5.0,3.0,6.0,6.0,4.0,3.0,4.0,4.0,1997.0,F,White,,North America,,More than 5 years,"Small city or town (under 50,000)",Democrat,,Yes,Second,Liberal Arts,,1 - 2 previous,Yes,15.0,Reducing energy consumption reduces pollution and threat of global warming.
23,4hhbzh5j,2018-03-23 20:17:01.497128+00:00,6h9k4r19,0,$0.00,0.2,16,control,5,$0.50,Three times the total in the conservation account ,$12.00,$15.00,$11.00,Yes,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,13.5,28.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,7.0,5.0,4.0,1995.0,F,White,,North America,,More than 5 years,Suburb near a large city,None,,No,Fourth,Liberal Arts,,1 - 2 previous,Yes,12.0,Reducing energy consumption reduces pollution and threat of global warming.
24,y9bv8qr5,2018-03-23 20:17:14.393578+00:00,6h9k4r19,0,$0.00,0.2,16,control,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,13.5,27.5,5.0,6.0,4.0,7.0,5.0,5.0,7.0,7.0,5.0,2.0,7.0,2.0,1998.0,F,Other,Asian,Asia,,2-5 years,"Very large city (over 3,000,000)",None,,No,Third,Business/Economics,,None,No,0.0,Reducing energy consumption reduces our reliance on imported fossil fuels.
25,kfkb4o5n,2018-03-23 20:17:31.179124+00:00,6h9k4r19,0,$0.00,0.2,16,control,5,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,No,1.0,1.0,0.0,1.0,0.5,0.5,1.0,0.0,13.5,27.0,5.0,7.0,3.0,3.0,3.0,2.0,4.0,1.0,5.0,6.0,5.0,1.0,1998.0,F,White,,North America,,More than 5 years,"Small city or town (under 50,000)",Democrat,,Yes,First,Education,,None,No,0.0,Reducing energy consumption reduces our reliance on imported fossil fuels.
26,w36z0b43,2018-03-23 20:17:38.340289+00:00,6h9k4r19,0,$0.00,0.2,16,control,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,1.0,0.5,0.0,1.0,0.0,0.0,13.5,29.0,7.0,7.0,2.0,7.0,3.0,3.0,2.0,6.0,3.0,7.0,5.0,7.0,1996.0,F,African-American ,,North America,,More than 5 years,"Large city (250,000-3,000,000)",Democrat,,No,Fourth,Liberal Arts,,More than 5 previous,Yes,6.0,Reducing energy consumption reduces pollution and threat of global warming.
27,p4bqdz1i,2018-03-23 20:18:00.715786+00:00,6h9k4r19,0,$0.00,0.2,16,control,3,$0.50,The total in the conservation account ,$24.00,$26.00,$11.00,No,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,13.5,25.5,4.0,5.0,4.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,1998.0,F,White,,North America,,More than 5 years,"Large city (250,000-3,000,000)",Democrat,,Yes,Second,Liberal Arts,,1 - 2 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
28,h0dz8g5l,2018-03-29 19:04:39.760701+00:00,v9qeuw0i,0,$0.00,0.2,16,control,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,iizhevjp,2018-03-29 19:04:50.081814+00:00,v9qeuw0i,0,$0.00,0.2,16,control,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,bbroaz1n,2018-03-29 19:04:58.273636+00:00,v9qeuw0i,0,$0.00,0.2,16,control,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,riwkc24b,2018-03-29 19:05:10.854394+00:00,v9qeuw0i,0,$0.00,0.2,16,control,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,mnriiplw,2018-03-29 19:05:27.368193+00:00,v9qeuw0i,0,$0.00,0.2,16,control,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,xzukzd8x,2018-03-29 19:05:37.919918+00:00,v9qeuw0i,0,$0.00,0.2,16,control,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,96rcsirt,2018-03-29 19:20:52.479082+00:00,pawd2rxb,0,$0.00,0.2,16,D,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,13.75,30.25,6.0,6.0,6.0,6.0,3.0,6.0,5.0,2.0,7.0,6.0,5.0,6.0,1998.0,M,Hispanic,,Central/South America,,2-5 years,"Very large city (over 3,000,000)",Republican,,No,Second,Engineering,,1 - 2 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
35,85syu8l6,2018-03-29 19:20:58.663056+00:00,pawd2rxb,0,$0.00,0.2,16,D,5,$0.50,The total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,13.75,27.25,7.0,7.0,4.0,7.0,2.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,1997.0,F,White,,North America,,More than 5 years,"Small city or town (under 50,000)",Democrat,,Yes,Third,Liberal Arts,,More than 5 previous,Yes,0.0,Reducing energy consumption reduces pollution and threat of global warming.
36,km89nz85,2018-03-29 19:21:03.927618+00:00,pawd2rxb,0,$0.00,0.2,16,D,5,$0.50,Three times the total in the conservation account ,$12.00,$11.00,$11.00,Yes,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.5,13.75,26.25,6.0,6.0,4.0,6.0,6.0,5.0,7.0,7.0,5.0,5.0,6.0,5.0,1997.0,F,White,,North America,,More than 5 years,"Small city or town (under 50,000)",Democrat,,No,Third,Liberal Arts,,1 - 2 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
37,km6hz591,2018-03-29 19:21:13.555126+00:00,pawd2rxb,0,$0.00,0.2,16,D,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,13.75,26.75,3.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,1997.0,F,White,,North America,,More than 5 years,"Medium size city (50,000-250,000)",Democrat,,Yes,Third,Science,,More than 5 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
38,gnl75bhy,2018-03-29 19:21:20.395338+00:00,pawd2rxb,0,$0.00,0.2,16,D,5,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,No,0.5,1.0,0.5,1.0,0.5,0.0,0.5,1.0,13.75,27.25,7.0,6.0,1.0,5.0,4.0,7.0,7.0,5.0,7.0,7.0,6.0,5.0,1997.0,F,Other,Middle eastern,North America,,More than 5 years,"Very large city (over 3,000,000)",Republican,,Yes,Third,Engineering,,3 - 5 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
39,2xrgkijs,2018-03-29 19:21:28.763673+00:00,pawd2rxb,0,$0.00,0.2,16,D,4,$0.50,Three times the total in the conservation account ,$24.00,$26.00,$11.00,No,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.5,13.75,28.75,6.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,1999.0,F,White,,Europe,,More than 5 years,"Small city or town (under 50,000)",None,,Yes,First,Health Sciences,,1 - 2 previous,Yes,0.0,Reducing energy consumption is important to improve the local economy.
40,m77tz542,2018-03-29 19:50:44.396543+00:00,m129nbet,0,$0.00,0.2,16,control,4,$0.50,The total in the conservation account ,$12.00,$26.00,$11.00,No,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,13.0,25.5,3.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,5.0,1997.0,F,White,,North America,,More than 5 years,Suburb near a large city,None,,No,Third,Liberal Arts,,More than 5 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
41,ldogujpu,2018-03-29 19:50:49.533270+00:00,m129nbet,0,$0.00,0.2,16,control,4,$0.50,The total in the conservation account ,$12.00,$26.00,$11.00,No,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,13.0,29.0,4.0,5.0,4.0,5.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,1996.0,F,Asian-American ,,Asia,,2-5 years,"Large city (250,000-3,000,000)",Democrat,,No,Fourth,Business/Economics,,More than 5 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
42,5ce6trpg,2018-03-29 19:50:58.674981+00:00,m129nbet,0,$0.00,0.2,16,control,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,13.0,28.5,4.0,4.0,6.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,1997.0,M,Asian-American ,,Asia,,More than 5 years,Suburb near a large city,Republican,,No,Second,Technology,,1 - 2 previous,Yes,5.0,Reducing energy consumption reduces our reliance on imported fossil fuels.
43,88nwpa7k,2018-03-29 19:51:05.599939+00:00,m129nbet,0,$0.00,0.2,16,control,5,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,No,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,13.0,24.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,1999.0,M,Other,Indian,Asia,,Less than 1 year,"Large city (250,000-3,000,000)",Democrat,,Yes,First,Engineering,,None,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
44,0x40f97g,2018-03-29 19:51:12.835586+00:00,m129nbet,0,$0.00,0.2,16,control,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.0,13.0,29.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1998.0,M,White,,North America,,More than 5 years,Suburb near a large city,Republican,,Yes,First,Agriculture/Natural Resources,,None,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
45,z7ma1shn,2018-03-29 19:51:16.767122+00:00,m129nbet,0,$0.00,0.2,16,control,5,$0.50,The total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,13.0,27.0,5.0,4.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,4.0,2.0,1995.0,F,White,,North America,,More than 5 years,"Medium size city (50,000-250,000)",Republican,,Yes,Fourth,Liberal Arts,,More than 5 previous,No,20.0,Reducing energy consumption is important to improve the local economy.
46,gtp11srr,2018-03-29 20:02:23.799668+00:00,3mu3ksom,0,$0.00,0.2,16,DTI,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,12.75,27.25,3.0,5.0,3.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,7.0,5.0,1998.0,M,White,,North America,,More than 5 years,"Medium size city (50,000-250,000)",Republican,,No,First,Business/Economics,,None,Yes,16.0,Reducing energy consumption is important to improve the local economy.
47,hvjyb2i6,2018-03-29 20:02:30.233379+00:00,3mu3ksom,0,$0.00,0.2,16,DTI,5,$0.50,Three times the total in the conservation account ,$12.00,$15.00,$11.00,Yes,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,12.75,26.75,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,1999.0,M,White,,North America,,More than 5 years,"Medium size city (50,000-250,000)",Republican,,No,First,Science,,More than 5 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
48,w8fxe0t2,2018-03-29 20:02:44.978299+00:00,3mu3ksom,0,$0.00,0.2,16,DTI,5,$0.50,Three times the total in the conservation account ,$12.00,$15.00,$11.00,Yes,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,12.75,29.25,2.0,5.0,2.0,6.0,4.0,2.0,7.0,6.0,6.0,6.0,7.0,7.0,1996.0,M,White,,North America,,More than 5 years,"Medium size city (50,000-250,000)",None,,No,Third,Business/Economics,,More than 5 previous,Yes,0.0,Reducing energy consumption reduces pollution and threat of global warming.
49,bmutb5e5,2018-03-29 20:02:52.095940+00:00,3mu3ksom,0,$0.00,0.2,16,DTI,4,$0.50,Three times the total in the conservation account ,$12.00,$15.00,$5.00,Yes,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.5,12.75,27.25,5.0,5.0,6.0,6.0,7.0,6.0,6.0,2.0,5.0,5.0,1.0,1.0,1999.0,M,Other,Asian,Asia,,Less than 1 year,"Very large city (over 3,000,000)",None,,No,First,Liberal Arts,,None,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
50,kpm3vr1z,2018-03-29 20:03:02.927056+00:00,3mu3ksom,0,$0.00,0.2,16,DTI,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,1.0,1.0,0.5,1.0,0.5,1.0,1.0,12.75,25.25,7.0,7.0,7.0,7.0,2.0,4.0,2.0,4.0,4.0,6.0,5.0,1.0,1996.0,F,Asian-American ,,Asia,,2-5 years,Suburb near a large city,Democrat,,No,Fourth,Engineering,,More than 5 previous,Yes,0.0,Reducing energy consumption reduces pollution and threat of global warming.
